cnt,ir,red,green,hr,spo2,temp,battery
27621,154411,127797,21170,0,0,0,0
27641,154417,127796,21187,0,0,0,0
27661,154410,127794,21186,0,0,0,0
27681,154406,127804,21176,0,0,0,0
27701,154406,127785,21185,0,0,0,0
27721,154434,127813,21163,0,0,0,0
27741,154414,127797,21173,0,0,0,0
27772,154399,127770,21172,95,71,0,0
27781,154411,127814,21176,0,0,0,0
27801,154408,127761,21182,0,0,0,0
27821,154440,127819,21172,0,0,0,0
27841,154404,127789,21163,0,0,0,0
27861,154415,127790,21178,0,0,0,0
27881,154408,127776,21180,0,0,0,0
27901,154418,127799,21177,0,0,0,0
27921,154428,127812,21175,0,0,0,0
27941,154384,127783,21176,0,0,0,0
27961,154431,127802,21185,0,0,0,0
27981,154400,127778,21161,0,0,0,0
28001,154430,127794,21165,0,0,0,0
28021,154388,127795,21172,0,0,0,0
28041,154403,127805,21170,0,0,0,0
28061,154415,127780,21179,0,0,0,0
28081,154438,127805,21154,0,0,0,0
28101,154401,127789,21185,0,0,0,0
28121,154412,127805,21170,0,0,0,0
28141,154431,127812,21157,0,0,0,0
28161,154420,127782,21175,0,0,0,0
28181,154432,127805,21173,0,0,0,0
28201,154412,127799,21186,0,0,0,0
28221,154415,127798,21194,0,0,0,0
28241,154420,127805,21171,0,0,0,0
28261,154412,127783,21179,0,0,0,0
28281,154419,127816,21173,0,0,0,0
28301,154403,127776,21182,0,0,0,0
28321,154426,127802,21171,0,0,0,0
28341,154407,127803,21171,0,0,0,0
28361,154415,127772,21168,0,0,0,0
28381,154417,127806,21175,0,0,0,0
28401,154408,127795,21174,0,0,0,0
28421,154432,127811,21178,0,0,0,0
28441,154391,127801,21157,0,0,0,0
28461,154419,127790,21183,0,0,0,0
28481,154417,127791,21173,0,0,0,0
28501,154423,127798,21176,0,0,0,0
28521,154393,127790,21180,0,0,0,0
28541,154426,127798,21173,0,0,0,0
28561,154404,127792,21178,0,0,0,0
28581,154425,127814,21178,0,0,0,0
28601,154399,127791,21160,0,0,0,0
28621,154433,127811,21190,0,0,0,0
28641,154400,127794,21174,0,0,0,0
28661,154414,127775,21178,0,0,0,0
28681,154418,127796,21178,0,0,0,0
28701,154410,127788,21168,0,0,0,0
28721,154420,127810,21191,0,0,0,0
28741,154400,127781,21173,0,0,0,0
28761,154393,127787,21174,0,0,0,0
28781,154435,127816,21188,0,0,0,0
28801,154410,127794,21175,0,0,0,0
28821,154397,127783,21167,0,0,0,0
28841,154438,127802,21173,0,0,0,0
28861,154379,127773,21184,0,0,0,0
28881,154429,127810,21174,0,0,0,0
28901,154384,127784,21157,0,0,0,0
28921,154424,127786,21181,0,0,0,0
28941,154394,127783,21170,0,0,0,0
28961,154414,127803,21175,0,0,0,0
28981,154417,127780,21180,0,0,0,0
29001,154398,127790,21172,0,0,0,0
29021,154429,127798,21179,0,0,0,0
29041,154394,127808,21159,0,0,0,0
29061,154399,127845,21173,0,0,0,0
29081,154430,127835,21184,0,0,0,0
29101,154380,127753,21157,0,0,0,0
29121,154419,127764,21166,0,0,0,0
29141,154392,127752,21165,0,0,0,0
29161,154453,127749,21162,0,0,0,0
29181,154424,127783,21178,0,0,0,0
29201,154409,127772,21170,0,0,0,0
29221,154385,127806,21179,0,0,0,0
29241,154355,127764,21168,0,0,0,0
29261,154392,127799,21175,0,0,0,0
29281,154369,127781,21215,0,0,0,0
29301,154415,127804,21146,0,0,0,0
29321,154415,127795,21172,0,0,0,0
29341,154388,127779,21170,0,0,0,0
29361,154389,127777,21155,0,0,0,0
29381,154422,127793,21173,0,0,0,0
29401,154405,127773,21154,0,0,0,0
29421,154407,127801,21178,0,0,0,0
29441,154393,127797,21157,0,0,0,0
29461,154422,127795,21179,0,0,0,0
29481,154396,127790,21171,0,0,0,0
29501,154420,127782,21178,0,0,0,0
29521,154398,127787,21181,0,0,0,0
29541,154415,127808,21177,0,0,0,0
29561,154391,127770,21193,0,0,0,0
29581,154412,127804,21180,0,0,0,0
29601,154365,127786,21170,0,0,0,0
29621,154437,127808,21170,0,0,0,0
29641,154372,127795,21167,0,0,0,0
29661,154420,127804,21179,0,0,0,0
29681,154410,127791,21178,0,0,0,0
29701,154391,127796,21159,0,0,0,0
29721,154428,127789,21185,0,0,0,0
29741,154402,127800,21181,0,0,0,0
29761,154416,127781,21177,0,0,0,0
29781,154403,127785,21182,0,0,0,0
29801,154410,127790,21164,0,0,0,0
29821,154401,127784,21176,0,0,0,0
29841,154436,127817,21164,0,0,0,0
29861,154388,127767,21175,0,0,0,0
29881,154420,127801,21179,0,0,0,0
29901,154404,127789,21163,0,0,0,0
29921,154414,127785,21168,0,0,0,0
29941,154420,127800,21163,0,0,0,0
29961,154412,127765,21164,0,0,0,0
29981,154409,127803,21183,0,0,0,0
30001,154419,127808,21168,0,0,0,0
30021,154409,127779,21180,0,0,0,0
30041,154424,127809,21159,0,0,0,0
30061,154398,127772,21157,0,0,0,0
30081,154425,127807,21183,0,0,0,0
30101,154383,127782,21150,0,0,0,0
30121,154418,127792,21175,0,0,0,0
30141,154391,127781,21173,0,0,0,0
30161,154415,127802,21168,0,0,0,0
30181,154389,127778,21175,0,0,0,0
30201,154403,127800,21165,0,0,0,0
30221,154397,127793,21187,0,0,0,0
30241,154419,127797,21172,0,0,0,0
30261,154424,127792,21169,0,0,0,0
30281,154387,127781,21174,0,0,0,0
30301,154436,127802,21177,0,0,0,0
30321,154396,127773,21170,0,0,0,0
30341,154444,127835,21181,0,0,0,0
30361,154396,127777,21168,0,0,0,0
30381,154405,127799,21176,0,0,0,0
30401,154408,127787,21168,0,0,0,0
30421,154391,127785,21183,0,0,0,0
30441,154433,127804,21177,0,0,0,0
30461,154386,127781,21168,0,0,0,0
30481,154436,127792,21176,0,0,0,0
30501,154399,127802,21177,0,0,0,0
30521,154407,127789,21176,0,0,0,0
30541,154405,127780,21178,0,0,0,0
30561,154392,127787,21158,0,0,0,0
30581,154428,127792,21167,0,0,0,0
30601,154414,127790,21170,0,0,0,0
30621,154410,127792,21164,0,0,0,0
30641,154429,127796,21170,0,0,0,0
30661,154412,127805,21173,0,0,0,0
30681,154408,127782,21174,0,0,0,0
30701,154458,127807,21174,0,0,0,0
30721,154357,127750,21164,0,0,0,0
30741,154469,127852,21177,0,0,0,0
30772,154397,127791,21155,93,73,0,0
30781,154414,127792,21172,0,0,0,0
30801,154449,127815,21171,0,0,0,0
30821,154384,127778,21171,0,0,0,0
30841,154462,127828,21190,0,0,0,0
30861,154393,127780,21160,0,0,0,0
30881,154436,127815,21197,0,0,0,0
30901,154399,127789,21172,0,0,0,0
30921,154442,127816,21175,0,0,0,0
30941,154409,127779,21175,0,0,0,0
30961,154430,127826,21169,0,0,0,0
30981,154395,127762,21163,0,0,0,0
31001,154432,127802,21184,0,0,0,0
31021,154423,127819,21183,0,0,0,0
31041,154410,127780,21171,0,0,0,0
31061,154438,127841,21181,0,0,0,0
31081,154397,127817,21160,0,0,0,0
31101,154449,127833,21181,0,0,0,0
31121,154413,127748,21163,0,0,0,0
31141,154416,127760,21175,0,0,0,0
31161,154458,127786,21167,0,0,0,0
31181,154451,127757,21171,0,0,0,0
31201,154452,127799,21184,0,0,0,0
31221,154385,127792,21160,0,0,0,0
31241,154369,127767,21186,0,0,0,0
31261,154406,127824,21181,0,0,0,0
31281,154353,127779,21202,0,0,0,0
31301,154418,127804,21229,0,0,0,0
31321,154406,127794,21206,0,0,0,0
31341,154420,127807,21158,0,0,0,0
31361,154388,127775,21139,0,0,0,0
31381,154435,127817,21162,0,0,0,0
31401,154416,127789,21153,0,0,0,0
31421,154416,127796,21178,0,0,0,0
31441,154416,127798,21172,0,0,0,0
31461,154413,127792,21167,0,0,0,0
31481,154406,127785,21164,0,0,0,0
31501,154404,127815,21167,0,0,0,0
31521,154390,127781,21172,0,0,0,0
31541,154383,127779,21166,0,0,0,0
31561,154424,127816,21173,0,0,0,0
31581,154374,127766,21179,0,0,0,0
31601,154441,127808,21160,0,0,0,0
31621,154367,127768,21160,0,0,0,0
31641,154411,127792,21179,0,0,0,0
31661,154397,127790,21174,0,0,0,0
31681,154389,127773,21170,0,0,0,0
31701,154412,127800,21182,0,0,0,0
31721,154371,127774,21167,0,0,0,0
31741,154427,127796,21174,0,0,0,0
31761,154384,127782,21163,0,0,0,0
31781,154414,127790,21184,0,0,0,0
31801,154395,127785,21174,0,0,0,0
31821,154456,127817,21174,0,0,0,0
31841,154342,127731,21175,0,0,0,0
31861,154430,127829,21166,0,0,0,0
31881,154415,127785,21185,0,0,0,0
31901,154382,127770,21166,0,0,0,0
31921,154398,127783,21162,0,0,0,0
31941,154373,127776,21165,0,0,0,0
31961,154446,127809,21166,0,0,0,0
31981,154337,127740,21173,0,0,0,0
32001,154471,127824,21181,0,0,0,0
32021,154313,127736,21155,0,0,0,0
32041,154450,127801,21182,0,0,0,0
32061,154391,127779,21155,0,0,0,0
32081,154425,127789,21175,0,0,0,0
32101,154416,127786,21169,0,0,0,0
32121,154380,127780,21168,0,0,0,0
32141,154429,127791,21189,0,0,0,0
32161,154398,127777,21173,0,0,0,0
32181,154386,127769,21177,0,0,0,0
32201,154418,127796,21185,0,0,0,0
32221,154397,127783,21175,0,0,0,0
32241,154407,127768,21172,0,0,0,0
32261,154422,127790,21182,0,0,0,0
32281,154321,127733,21162,0,0,0,0
32301,154456,127827,21180,0,0,0,0
32321,154314,127715,21146,0,0,0,0
32341,154460,127825,21178,0,0,0,0
32361,154348,127735,21169,0,0,0,0
32381,154401,127801,21162,0,0,0,0
32401,154403,127754,21167,0,0,0,0
32421,154357,127760,21149,0,0,0,0
32441,154442,127802,21181,0,0,0,0
32461,154332,127755,21160,0,0,0,0
32481,154459,127822,21180,0,0,0,0
32501,154340,127728,21165,0,0,0,0
32521,154444,127809,21173,0,0,0,0
32541,154353,127763,21171,0,0,0,0
32561,154436,127805,21173,0,0,0,0
32581,154354,127736,21161,0,0,0,0
32601,154413,127812,21182,0,0,0,0
32621,154388,127770,21177,0,0,0,0
32641,154382,127780,21160,0,0,0,0
32661,154426,127804,21183,0,0,0,0
32681,154360,127755,21172,0,0,0,0
32701,154423,127801,21175,0,0,0,0
32721,154359,127756,21171,0,0,0,0
32741,154408,127789,21170,0,0,0,0
32761,154385,127761,21180,0,0,0,0
32781,154407,127789,21168,0,0,0,0
32801,154381,127763,21170,0,0,0,0
32821,154386,127793,21180,0,0,0,0
32841,154388,127782,21170,0,0,0,0
32861,154387,127776,21170,0,0,0,0
32881,154401,127792,21175,0,0,0,0
32901,154369,127753,21176,0,0,0,0
32921,154418,127808,21180,0,0,0,0
32941,154378,127760,21156,0,0,0,0
32961,154390,127789,21175,0,0,0,0
32981,154390,127772,21154,0,0,0,0
33001,154364,127758,21171,0,0,0,0
33021,154387,127790,21178,0,0,0,0
33041,154357,127764,21174,0,0,0,0
33061,154402,127792,21175,0,0,0,0
33081,154389,127799,21164,0,0,0,0
33101,154364,127765,21165,0,0,0,0
33121,154393,127769,21173,0,0,0,0
33141,154395,127757,21165,0,0,0,0
33161,154431,127729,21163,0,0,0,0
33181,154432,127773,21154,0,0,0,0
33201,154416,127751,21159,0,0,0,0
33221,154359,127774,21175,0,0,0,0
33241,154334,127767,21172,0,0,0,0
33261,154362,127766,21186,0,0,0,0
33281,154348,127787,21209,0,0,0,0
33301,154354,127770,21211,0,0,0,0
33321,154399,127783,21176,0,0,0,0
33341,154364,127772,21157,0,0,0,0
33361,154405,127786,21166,0,0,0,0
33381,154341,127746,21149,0,0,0,0
33401,154425,127802,21165,0,0,0,0
33421,154374,127753,21166,0,0,0,0
33441,154390,127774,21172,0,0,0,0
33461,154393,127785,21178,0,0,0,0
33481,154362,127781,21148,0,0,0,0
33501,154404,127792,21174,0,0,0,0
33521,154385,127781,21165,0,0,0,0
33541,154386,127789,21158,0,0,0,0
33561,154408,127785,21174,0,0,0,0
33581,154369,127773,21159,0,0,0,0
33601,154400,127793,21174,0,0,0,0
33621,154394,127781,21165,0,0,0,0
33641,154397,127777,21166,0,0,0,0
33661,154388,127786,21176,0,0,0,0
33681,154381,127782,21171,0,0,0,0
33701,154389,127775,21172,0,0,0,0
33721,154407,127782,21169,0,0,0,0
33741,154368,127759,21161,0,0,0,0
33772,154413,127802,21179,95,0,0,0
33781,154383,127764,21159,0,0,0,0
33801,154398,127778,21194,0,0,0,0
33821,154409,127795,21172,0,0,0,0
33841,154386,127760,21167,0,0,0,0
33861,154382,127786,21178,0,0,0,0
33881,154401,127779,21161,0,0,0,0
33901,154384,127786,21181,0,0,0,0
33921,154401,127780,21175,0,0,0,0
33941,154391,127775,21172,0,0,0,0
33961,154401,127780,21179,0,0,0,0
33981,154376,127784,21162,0,0,0,0
34001,154404,127780,21181,0,0,0,0
34021,154377,127775,21178,0,0,0,0
34041,154404,127792,21162,0,0,0,0
34061,154386,127775,21180,0,0,0,0
34081,154397,127781,21176,0,0,0,0
34101,154379,127775,21183,0,0,0,0
34121,154416,127798,21179,0,0,0,0
34141,154373,127776,21164,0,0,0,0
34161,154412,127790,21165,0,0,0,0
34181,154391,127784,21175,0,0,0,0
34201,154388,127772,21160,0,0,0,0
34221,154396,127803,21170,0,0,0,0
34241,154371,127763,21174,0,0,0,0
34261,154393,127770,21171,0,0,0,0
34281,154408,127782,21173,0,0,0,0
34301,154374,127771,21171,0,0,0,0
34321,154397,127773,21168,0,0,0,0
34341,154397,127796,21171,0,0,0,0
34361,154394,127760,21187,0,0,0,0
34381,154392,127783,21176,0,0,0,0
34401,154393,127769,21161,0,0,0,0
34421,154372,127778,21182,0,0,0,0
34441,154390,127796,21161,0,0,0,0
34461,154395,127760,21173,0,0,0,0
34481,154364,127782,21170,0,0,0,0
34501,154410,127786,21171,0,0,0,0
34521,154359,127750,21173,0,0,0,0
34541,154410,127786,21174,0,0,0,0
34561,154381,127765,21160,0,0,0,0
34581,154402,127778,21172,0,0,0,0
34601,154390,127769,21153,0,0,0,0
34621,154401,127775,21169,0,0,0,0
34641,154396,127762,21170,0,0,0,0
34661,154405,127771,21169,0,0,0,0
34681,154383,127768,21178,0,0,0,0
34701,154368,127779,21171,0,0,0,0
34721,154386,127775,21182,0,0,0,0
34741,154403,127781,21162,0,0,0,0
34761,154345,127751,21157,0,0,0,0
34781,154440,127813,21191,0,0,0,0
34801,154340,127747,21153,0,0,0,0
34821,154454,127814,21184,0,0,0,0
34841,154362,127759,21168,0,0,0,0
34861,154414,127800,21164,0,0,0,0
34881,154380,127769,21165,0,0,0,0
34901,154404,127767,21169,0,0,0,0
34921,154368,127762,21181,0,0,0,0
34941,154402,127794,21173,0,0,0,0
34961,154366,127762,21152,0,0,0,0
34981,154413,127783,21171,0,0,0,0
35001,154369,127772,21164,0,0,0,0
35021,154391,127783,21173,0,0,0,0
35041,154404,127817,21166,0,0,0,0
35061,154367,127803,21163,0,0,0,0
35081,154431,127814,21180,0,0,0,0
35101,154353,127766,21159,0,0,0,0
35121,154400,127767,21172,0,0,0,0
35141,154392,127750,21178,0,0,0,0
35161,154392,127731,21177,0,0,0,0
35181,154439,127761,21175,0,0,0,0
35201,154390,127770,21163,0,0,0,0
35221,154342,127770,21179,0,0,0,0
35241,154362,127786,21173,0,0,0,0
35261,154352,127786,21161,0,0,0,0
35281,154356,127782,21210,0,0,0,0
35301,154385,127791,21201,0,0,0,0
35321,154366,127762,21180,0,0,0,0
35341,154414,127778,21159,0,0,0,0
35361,154382,127776,21153,0,0,0,0
35381,154403,127767,21158,0,0,0,0
35401,154365,127757,21153,0,0,0,0
35421,154430,127788,21173,0,0,0,0
35441,154377,127777,21161,0,0,0,0
35461,154385,127761,21181,0,0,0,0
35481,154400,127787,21167,0,0,0,0
35501,154379,127777,21160,0,0,0,0
35521,154390,127768,21179,0,0,0,0
35541,154415,127789,21167,0,0,0,0
35561,154408,127780,21182,0,0,0,0
35581,154338,127743,21160,0,0,0,0
35601,154460,127815,21174,0,0,0,0
35621,154302,127702,21168,0,0,0,0
35641,154419,127816,21164,0,0,0,0
35661,154399,127769,21178,0,0,0,0
35681,154369,127760,21165,0,0,0,0
35701,154444,127798,21179,0,0,0,0
35721,154369,127753,21163,0,0,0,0
35741,154408,127784,21162,0,0,0,0
35761,154393,127779,21173,0,0,0,0
35781,154406,127789,21175,0,0,0,0
35801,154400,127789,21160,0,0,0,0
35821,154378,127762,21176,0,0,0,0
35841,154400,127785,21159,0,0,0,0
35861,154369,127780,21168,0,0,0,0
35881,154422,127806,21175,0,0,0,0
35901,154392,127776,21152,0,0,0,0
35921,154396,127771,21178,0,0,0,0
35941,154382,127776,21158,0,0,0,0
35961,154411,127786,21156,0,0,0,0
35981,154407,127793,21182,0,0,0,0
36001,154268,127697,21162,0,0,0,0
36021,154495,127850,21184,0,0,0,0
36041,154270,127690,21170,0,0,0,0
36061,154487,127853,21186,0,0,0,0
36081,154319,127721,21171,0,0,0,0
36101,154395,127800,21163,0,0,0,0
36121,154390,127772,21181,0,0,0,0
36141,154334,127748,21155,0,0,0,0
36161,154432,127805,21165,0,0,0,0
36181,154332,127724,21177,0,0,0,0
36201,154417,127808,21165,0,0,0,0
36221,154370,127760,21173,0,0,0,0
36241,154357,127766,21176,0,0,0,0
36261,154404,127786,21155,0,0,0,0
36281,154355,127750,21170,0,0,0,0
36301,154393,127783,21165,0,0,0,0
36321,154331,127731,21156,0,0,0,0
36341,154466,127824,21177,0,0,0,0
36361,154258,127688,21156,0,0,0,0
36381,154433,127805,21185,0,0,0,0
36401,154383,127762,21166,0,0,0,0
36421,154325,127734,21162,0,0,0,0
36441,154446,127806,21177,0,0,0,0
36461,154293,127723,21162,0,0,0,0
36481,154396,127783,21168,0,0,0,0
36501,154371,127764,21166,0,0,0,0
36521,154374,127759,21160,0,0,0,0
36541,154354,127751,21157,0,0,0,0
36561,154365,127781,21157,0,0,0,0
36581,154347,127748,21156,0,0,0,0
36601,154380,127779,21170,0,0,0,0
36621,154361,127746,21156,0,0,0,0
36641,154368,127775,21185,0,0,0,0
36661,154352,127748,21153,0,0,0,0
36681,154347,127750,21174,0,0,0,0
36701,154354,127745,21170,0,0,0,0
36721,154367,127777,21162,0,0,0,0
36741,154360,127742,21163,0,0,0,0
36773,154352,127744,21168,98,75,0,0
36781,154365,127756,21174,0,0,0,0
36801,154368,127749,21169,0,0,0,0
36821,154336,127755,21150,0,0,0,0
36841,154375,127749,21169,0,0,0,0
36861,154344,127761,21163,0,0,0,0
36881,154369,127771,21170,0,0,0,0
36901,154346,127741,21163,0,0,0,0
36921,154353,127758,21161,0,0,0,0
36941,154355,127751,21181,0,0,0,0
36961,154355,127762,21165,0,0,0,0
36981,154369,127740,21160,0,0,0,0
37001,154355,127761,21175,0,0,0,0
37021,154365,127762,21157,0,0,0,0
37041,154355,127755,21160,0,0,0,0
37061,154378,127815,21167,0,0,0,0
37081,154347,127713,21153,0,0,0,0
37101,154367,127740,21174,0,0,0,0
37121,154347,127728,21163,0,0,0,0
37141,154362,127714,21178,0,0,0,0
37161,154385,127736,21170,0,0,0,0
37181,154403,127744,21168,0,0,0,0
37201,154364,127736,21156,0,0,0,0
37221,154320,127758,21154,0,0,0,0
37241,154320,127731,21165,0,0,0,0
37261,154356,127762,21213,0,0,0,0
37281,154321,127755,21201,0,0,0,0
37301,154364,127748,21194,0,0,0,0
37321,154350,127761,21173,0,0,0,0
37341,154359,127754,21151,0,0,0,0
37361,154352,127773,21172,0,0,0,0
37381,154354,127747,21172,0,0,0,0
37401,154349,127769,21164,0,0,0,0
37421,154360,127759,21171,0,0,0,0
37441,154364,127749,21168,0,0,0,0
37461,154375,127777,21158,0,0,0,0
37481,154340,127727,21165,0,0,0,0
37501,154368,127774,21158,0,0,0,0
37521,154355,127739,21166,0,0,0,0
37541,154365,127760,21167,0,0,0,0
37561,154352,127761,21153,0,0,0,0
37581,154363,127744,21167,0,0,0,0
37601,154370,127753,21168,0,0,0,0
37621,154365,127769,21145,0,0,0,0
37641,154354,127747,21177,0,0,0,0
37661,154349,127762,21151,0,0,0,0
37681,154379,127757,21167,0,0,0,0
37701,154347,127753,21163,0,0,0,0
37721,154350,127753,21168,0,0,0,0
37741,154356,127750,21190,0,0,0,0
37761,154391,127781,21158,0,0,0,0
37781,154374,127758,21170,0,0,0,0
37801,154345,127744,21155,0,0,0,0
37821,154388,127761,21165,0,0,0,0
37841,154338,127743,21161,0,0,0,0
37861,154371,127772,21157,0,0,0,0
37881,154363,127760,21175,0,0,0,0
37901,154349,127744,21173,0,0,0,0
37921,154354,127762,21165,0,0,0,0
37941,154348,127765,21162,0,0,0,0
37961,154342,127746,21163,0,0,0,0
37981,154361,127747,21166,0,0,0,0
38001,154350,127751,21160,0,0,0,0
38021,154354,127754,21148,0,0,0,0
38042,154354,127745,21163,0,0,0,0
38061,154353,127755,21172,0,0,0,0
38081,154342,127766,21158,0,0,0,0
38101,154373,127770,21176,0,0,0,0
38121,154340,127746,21163,0,0,0,0
38141,154363,127756,21169,0,0,0,0
38161,154346,127772,21177,0,0,0,0
38181,154340,127747,21155,0,0,0,0
38201,154375,127749,21181,0,0,0,0
38221,154344,127738,21154,0,0,0,0
38241,154371,127767,21172,0,0,0,0
38261,154353,127735,21169,0,0,0,0
38281,154355,127756,21157,0,0,0,0
38301,154368,127758,21172,0,0,0,0
38321,154350,127753,21158,0,0,0,0
38341,154349,127758,21178,0,0,0,0
38361,154349,127738,21171,0,0,0,0
38381,154374,127769,21172,0,0,0,0
38401,154350,127742,21169,0,0,0,0
38421,154367,127765,21168,0,0,0,0
38441,154372,127759,21174,0,0,0,0
38461,154355,127763,21171,0,0,0,0
38481,154371,127771,21169,0,0,0,0
38501,154353,127737,21175,0,0,0,0
38521,154351,127748,21156,0,0,0,0
38541,154376,127756,21170,0,0,0,0
38561,154352,127759,21177,0,0,0,0
38581,154370,127757,21165,0,0,0,0
38601,154365,127747,21169,0,0,0,0
38621,154368,127762,21163,0,0,0,0
38641,154345,127745,21168,0,0,0,0
38661,154360,127757,21175,0,0,0,0
38681,154358,127745,21152,0,0,0,0
38701,154385,127770,21170,0,0,0,0
38721,154332,127746,21160,0,0,0,0
38741,154381,127782,21167,0,0,0,0
39787,154360,127774,21160,97,79,27.7,0
39789,154389,127766,21182,0,0,0,0
39801,154360,127762,21158,0,0,0,0
39821,154376,127766,21163,0,0,0,0
39841,154373,127744,21170,0,0,0,0
39861,154367,127774,21157,0,0,0,0
39881,154388,127773,21168,0,0,0,0
39901,154324,127749,21163,0,0,0,0
39921,154376,127779,21147,0,0,0,0
39941,154363,127760,21165,0,0,0,0
39961,154367,127768,21149,0,0,0,0
39981,154376,127754,21172,0,0,0,0
40001,154356,127761,21166,0,0,0,0
40021,154383,127814,21160,0,0,0,0
40041,154330,127761,21169,0,0,0,0
40061,154414,127783,21168,0,0,0,0
40081,154324,127715,21150,0,0,0,0
40101,154379,127737,21168,0,0,0,0
40121,154349,127734,21148,0,0,0,0
40141,154383,127758,21179,0,0,0,0
40161,154397,127753,21161,0,0,0,0
40181,154312,127732,21148,0,0,0,0
40201,154344,127772,21183,0,0,0,0
40221,154288,127747,21182,0,0,0,0
40241,154341,127778,21192,0,0,0,0
40261,154337,127734,21201,0,0,0,0
40281,154334,127742,21173,0,0,0,0
40301,154430,127784,21165,0,0,0,0
40321,154415,127787,21172,0,0,0,0
40341,154289,127694,21148,0,0,0,0
40361,154446,127829,21144,0,0,0,0
40381,154332,127709,21165,0,0,0,0
40401,154307,127698,21212,0,0,0,0
40421,154337,127765,21166,0,0,0,0
40441,154478,127817,21181,0,0,0,0
40461,154238,127681,21159,0,0,0,0
40481,154472,127841,21172,0,0,0,0
40501,154298,127700,21156,0,0,0,0
40521,154537,127870,21188,0,0,0,0
40541,154308,127689,21158,0,0,0,0
40561,154362,127760,21175,0,0,0,0
40581,154443,127785,21187,0,0,0,0
40601,154271,127680,21157,0,0,0,0
40621,154448,127844,21172,0,0,0,0
40641,154295,127719,21151,0,0,0,0
40661,154396,127782,21166,0,0,0,0
40681,154365,127767,21162,0,0,0,0
40701,154316,127741,21167,0,0,0,0
40721,154402,127795,21180,0,0,0,0
40741,154359,127738,21156,0,0,0,0
40761,154372,127763,21163,0,0,0,0
40781,154373,127760,21158,0,0,0,0
40801,154345,127744,21170,0,0,0,0
40821,154308,127717,21163,0,0,0,0
40841,154402,127790,21153,0,0,0,0
40861,154361,127731,21177,0,0,0,0
40881,154304,127728,21167,0,0,0,0
40901,154438,127802,21192,0,0,0,0
40921,154285,127718,21164,0,0,0,0
40941,154374,127772,21162,0,0,0,0
40961,154360,127730,21181,0,0,0,0
40981,154339,127780,21169,0,0,0,0
41001,154380,127791,21176,0,0,0,0
41021,154299,127757,21168,0,0,0,0
41041,154401,127784,21160,0,0,0,0
41061,154342,127697,21169,0,0,0,0
41081,154375,127754,21157,0,0,0,0
41101,154357,127700,21175,0,0,0,0
41121,154391,127732,21160,0,0,0,0
41141,154412,127767,21164,0,0,0,0
41161,154284,127700,21168,0,0,0,0
41181,154364,127788,21178,0,0,0,0
41201,154287,127715,21175,0,0,0,0
41221,154336,127762,21184,0,0,0,0
41241,154368,127753,21189,0,0,0,0
41261,154318,127738,21187,0,0,0,0
41281,154360,127772,21162,0,0,0,0
41301,154360,127739,21151,0,0,0,0
41321,154377,127749,21148,0,0,0,0
41341,154333,127766,21134,0,0,0,0
41361,154352,127742,21160,0,0,0,0
41381,154361,127754,21161,0,0,0,0
41401,154341,127747,21151,0,0,0,0
41421,154362,127748,21176,0,0,0,0
41441,154365,127775,21167,0,0,0,0
41461,154352,127760,21170,0,0,0,0
41481,154367,127759,21169,0,0,0,0
41501,154370,127760,21151,0,0,0,0
41521,154348,127744,21171,0,0,0,0
41541,154354,127756,21172,0,0,0,0
41561,154364,127741,21169,0,0,0,0
41581,154356,127741,21175,0,0,0,0
41601,154376,127763,21167,0,0,0,0
41621,154356,127760,21172,0,0,0,0
41641,154359,127762,21164,0,0,0,0
41661,154325,127740,21162,0,0,0,0
41681,154375,127772,21176,0,0,0,0
41701,154333,127725,21160,0,0,0,0
41721,154340,127741,21164,0,0,0,0
41741,154366,127775,21171,0,0,0,0
41761,154375,127785,21171,0,0,0,0
41781,154180,127621,21152,0,0,0,0
41801,154509,127891,21168,0,0,0,0
41821,154310,127684,21165,0,0,0,0
41841,154328,127765,21160,0,0,0,0
41861,154433,127787,21171,0,0,0,0
41881,154238,127667,21156,0,0,0,0
41901,154437,127830,21175,0,0,0,0
41921,154318,127713,21158,0,0,0,0
41941,154369,127755,21177,0,0,0,0
41961,154278,127708,21154,0,0,0,0
41981,154445,127841,21177,0,0,0,0
42001,154313,127708,21157,0,0,0,0
42021,154315,127733,21163,0,0,0,0
42041,154454,127813,21176,0,0,0,0
42061,154242,127678,21141,0,0,0,0
42081,154441,127820,21180,0,0,0,0
42101,154379,127759,21165,0,0,0,0
42121,154165,127584,21154,0,0,0,0
42141,154538,127915,21188,0,0,0,0
42161,154280,127679,21161,0,0,0,0
42181,154291,127745,21163,0,0,0,0
42201,154495,127838,21173,0,0,0,0
42221,154201,127649,21157,0,0,0,0
42241,154384,127781,21174,0,0,0,0
42261,154341,127735,21171,0,0,0,0
42281,154358,127760,21176,0,0,0,0
42301,154350,127759,21159,0,0,0,0
42321,154347,127734,21167,0,0,0,0
42341,154346,127751,21179,0,0,0,0
42361,154355,127770,21160,0,0,0,0
42381,154337,127735,21174,0,0,0,0
42401,154379,127765,21174,0,0,0,0
42421,154341,127743,21154,0,0,0,0
42441,154321,127738,21171,0,0,0,0
42461,154383,127779,21159,0,0,0,0
42481,154148,127615,21148,0,0,0,0
42501,154585,127909,21197,0,0,0,0
42521,154077,127552,21122,0,0,0,0
42541,154569,127916,21195,0,0,0,0
42561,154218,127639,21147,0,0,0,0
